ID,Automated,Regression,Section,Section Depth
C37124, No, Regular Regression,Recent Activity Section,4
C39464, No, Regular Regression,C-AR - Customer Payment Listing Page,2
C39465, Yes, Regular Regression,C-AR - Customer Payment Listing Page,2
C43214, No, Regular Regression,C-AR - Customer Payment Listing Page,2
C43828, Yes, Regular Regression,C-AR - Customer Payment Listing Page,2
C43829, Yes, Regular Regression,C-AR - Customer Payment Listing Page,2
C43830, Yes, Regular Regression,C-AR - Customer Payment Listing Page,2
C43831, Yes, Regular Regression,C-AR - Customer Payment Listing Page,2
C43832, Yes, Feature Regression,C-AR - Customer Payment Listing Page,2
C43833, Yes, Regular Regression,C-AR - Customer Payment Listing Page,2
C33770, No, Regular Regression,Division Dropdown,4
C33771, No, Regular Regression,Division Dropdown,4
C33780, No, Regular Regression,Currency Dropdown,4
C33781, No, Regular Regression,Currency Dropdown,4
C33782, No, Regular Regression,Currency Dropdown,4
C33838, No, Regular Regression,SearchBox,3
C33840, Yes, Regular Regression,SearchBox,3
C37709, No, Regular Regression,Filters,3
C37710, Yes, Regular Regression,Filters,3
C37711, Yes, Regular Regression,Filters,3
C37712, Yes, Regular Regression,Filters,3
C37714, No, Regular Regression,Filters,3
C37715, No, Regular Regression,Filters,3
C37719, Yes, Regular Regression,Filters,3
C37720, No, Regular Regression,Filters,3
C37721, No, Regular Regression,Filters,3
C37722, No, Regular Regression,Filters,3
C37735, No, Regular Regression,C-AR - Customer Payment Detail Page,2
C37736, No, Regular Regression,C-AR - Customer Payment Detail Page,2
C37737, No, Regular Regression,C-AR - Customer Payment Detail Page,2
C37738, Yes, Regular Regression,C-AR - Customer Payment Detail Page,2
C39462, No, Regular Regression,C-AR - Customer Payment Detail Page,2
C39463, Yes, Regular Regression,C-AR - Customer Payment Detail Page,2
C39401, No, Regular Regression,C-AR - Customer Document Detail Page,2
C39402, No, Regular Regression,C-AR - Customer Document Detail Page,2
C39403, No, Regular Regression,C-AR - Customer Document Detail Page,2
C39404, No, Regular Regression,C-AR - Customer Document Detail Page,2
C39405, No, Regular Regression,C-AR - Customer Document Detail Page,2
C39406, No, Regular Regression,C-AR - Customer Document Detail Page,2
C39407, No, Regular Regression,C-AR - Customer Document Detail Page,2
C39408, No, Regular Regression,C-AR - Customer Document Detail Page,2
C39409, No, Regular Regression,C-AR - Customer Document Detail Page,2
C39410, No, Regular Regression,C-AR - Customer Document Detail Page,2
C39411, Yes, Regular Regression,C-AR - Customer Document Listing Page,2
C39412, No, Regular Regression,C-AR - Customer Document Listing Page,2
C39413, No, Regular Regression,C-AR - Customer Document Listing Page,2
C39414, No, Regular Regression,C-AR - Customer Document Listing Page,2
C39415, No, Regular Regression,C-AR - Customer Document Listing Page,2
C39416, No, Regular Regression,C-AR - Customer Document Listing Page,2
C39417, No, Regular Regression,C-AR - Customer Document Listing Page,2
C39418, Yes, Regular Regression,C-AR - Customer Document Listing Page,2
C39419, No, Regular Regression,C-AR - Customer Document Listing Page,2
C39420, No, Regular Regression,C-AR - Customer Document Listing Page,2
C39421, Yes, Regular Regression,C-AR - Customer Document Listing Page,2
C39422, No, Regular Regression,C-AR - Customer Document Listing Page,2
C39423, Yes, Regular Regression,C-AR - Customer Document Listing Page,2
C39424, Yes, Regular Regression,C-AR - Customer Document Listing Page,2
C33809, No, Regular Regression,Division Dropdown,4
C33810, No, Regular Regression,Division Dropdown,4
C33811, No, Regular Regression,Division Dropdown,4
C33819, No, Regular Regression,Currency Dropdown,4
C33820, No, Regular Regression,Currency Dropdown,4
C33821, No, Regular Regression,Currency Dropdown,4
C33843, Yes, Regular Regression,SearchBox,3
C39327, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39328, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39329, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39330, No, Regular Regression,C-AR - Customer Activities Page,2
C39331, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39332, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39333, No, Regular Regression,C-AR - Customer Activities Page,2
C39334, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39335, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39336, No, Regular Regression,C-AR - Customer Activities Page,2
C39337, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39338, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39339, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39340, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39341, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39342, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39343, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39344, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39345, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39346, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39347, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39348, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39349, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39350, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39351, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39352, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39353, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39354, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39355, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39356, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39357, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39358, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39359, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39360, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39361, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39362, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39363, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39364, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39365, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39366, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39367, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39368, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39369, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39370, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39371, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39372, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39373, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39374, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39375, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39376, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39377, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39378, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39379, Yes, Regular Regression,C-AR - Customer Activities Page,2
C39380, Yes, Regular Regression,C-AR - Customer Activities Page,2
C33844, Yes, Regular Regression,SearchBox,3
C33845, No, Regular Regression,SearchBox,3
C33846, Yes, Regular Regression,SearchBox,3
C33847, Yes, Regular Regression,SearchBox,3
C36330, No, Regular Regression,C-AR - Customer Request Page,2
C36331, No, Regular Regression,C-AR - Customer Request Page,2
C36332, No, Regular Regression,C-AR - Customer Request Page,2
C36333, No, Regular Regression,C-AR - Customer Request Page,2
C36334, No, Regular Regression,C-AR - Customer Request Page,2
C36335, No, Regular Regression,C-AR - Customer Request Page,2
C36336, No, Regular Regression,C-AR - Customer Request Page,2
C36337, No, Regular Regression,C-AR - Customer Request Page,2
C36338, No, Regular Regression,C-AR - Customer Request Page,2
C36339, No, Regular Regression,C-AR - Customer Request Page,2
C36340, No, Regular Regression,C-AR - Customer Request Page,2
C36341, No, Regular Regression,C-AR - Customer Request Page,2
C36342, No, Regular Regression,C-AR - Customer Request Page,2
C39473, No, Regular Regression,C-AR - Customer Request Page,2
C39474, No, Regular Regression,C-AR - Customer Request Page,2
C39475, No, Regular Regression,C-AR - Customer Request Page,2
C39476, No, Regular Regression,C-AR - Customer Request Page,2
C39477, No, Regular Regression,C-AR - Customer Request Page,2
C39478, No, Regular Regression,C-AR - Customer Request Page,2
C39479, No, Regular Regression,C-AR - Customer Request Page,2
C39480, No, Regular Regression,C-AR - Customer Request Page,2
C39481, No, Regular Regression,C-AR - Customer Request Page,2
C39482, No, Regular Regression,C-AR - Customer Request Page,2
C39483, No, Regular Regression,C-AR - Customer User Page,2
C39484, Yes, Regular Regression,C-AR - Customer User Page,2
C39485, No, Regular Regression,C-AR - Customer User Page,2
C39486, Yes, Regular Regression,C-AR - Customer User Page,2
C39487, No, Regular Regression,C-AR - Customer User Page,2
C39488, No, Regular Regression,C-AR - Customer User Page,2
C39456, No, Regular Regression,C-AR - Customer My Profile Page,2
C39457, No, Regular Regression,C-AR - Customer My Profile Page,2
C39458, No, Regular Regression,C-AR - Customer My Profile Page,2
C39459, No, Regular Regression,C-AR - Customer My Profile Page,2
C39466, No, Regular Regression,C-AR - Customer Payment Methods,2
C39467, No, Regular Regression,C-AR - Customer Payment Methods,2
C39468, No, Regular Regression,C-AR - Customer Payment Methods,2
C39469, Yes, Regular Regression,C-AR - Customer Payment Methods,2
C39470, No, Regular Regression,C-AR - Customer Payment Methods,2
C39471, Yes, Regular Regression,C-AR - Customer Payment Methods,2
C39472, Yes, Regular Regression,C-AR - Customer Payment Methods,2
C44184, Yes, Regular Regression,C-AR - Customer Payment Methods,2
C44185, Yes, Regular Regression,C-AR - Customer Payment Methods,2
C44186, Yes, Regular Regression,C-AR - Customer Payment Methods,2
C44187, Yes, Regular Regression,C-AR - Customer Payment Methods,2
C44188, Yes, Regular Regression,C-AR - Customer Payment Methods,2
C44189, Yes, Regular Regression,C-AR - Customer Payment Methods,2
C44190, Yes, Regular Regression,C-AR - Customer Payment Methods,2
C44191, Yes, Regular Regression,C-AR - Customer Payment Methods,2
C39451, No, Regular Regression,C-AR - Customer My Notifications,2
C39452, No, Regular Regression,C-AR - Customer My Notifications,2
C39453, No, Regular Regression,C-AR - Customer My Notifications,2
C39454, No, Regular Regression,C-AR - Customer My Notifications,2
C39455, No, Regular Regression,C-AR - Customer My Notifications,2
C40855, No, Regular Regression,C-AR - Customer Order Listing Page,2
C40856, No, Regular Regression,C-AR - Customer Order Listing Page,2
C40858, No, Regular Regression,C-AR - Customer Order Listing Page,2
C40859, No, Regular Regression,C-AR - Customer Order Listing Page,2
C40861, No, Regular Regression,C-AR - Customer Order Listing Page,2
C40862, No, Regular Regression,C-AR - Customer Order Listing Page,2
C40863, No, Regular Regression,C-AR - Customer Order Listing Page,2
C40864, No, Regular Regression,C-AR - Customer Order Listing Page,2
C40877, No, Regular Regression,C-AR - Customer Order Listing Page,2
C40878, No, Regular Regression,C-AR - Customer Order Listing Page,2
C40879, No, Regular Regression,C-AR - Customer Order Listing Page,2
C40880, No, Regular Regression,C-AR - Customer Order Listing Page,2
C40881, No, Regular Regression,C-AR - Customer Order Listing Page,2
C40882, No, Regular Regression,C-AR - Customer Order Listing Page,2
C40883, No, Regular Regression,C-AR - Customer Order Listing Page,2
C40884, No, Regular Regression,C-AR - Customer Order Listing Page,2
C40885, No, Regular Regression,C-AR - Customer Order Listing Page,2
C40886, No, Regular Regression,C-AR - Customer Order Listing Page,2
C40887, No, Regular Regression,C-AR - Customer Order Listing Page,2
C40888, No, Regular Regression,C-AR - Customer Order Listing Page,2
C40889, No, Regular Regression,C-AR - Customer Order Listing Page,2
C40890, No, Regular Regression,C-AR - Customer Order Listing Page,2
C40891, No, Regular Regression,C-AR - Customer Order Listing Page,2
C40892, No, Regular Regression,C-AR - Customer Order Listing Page,2
C40893, No, Regular Regression,C-AR - Customer Order Listing Page,2
C40894, No, Regular Regression,C-AR - Customer Order Listing Page,2
C40895, No, Regular Regression,C-AR - Customer Order Listing Page,2
C40896, No, Regular Regression,C-AR - Customer Order Listing Page,2
C40897, No, Regular Regression,C-AR - Customer Order Listing Page,2
C40898, No, Regular Regression,C-AR - Customer Order Listing Page,2
C40899, No, Regular Regression,C-AR - Customer Order Listing Page,2
C40900, No, Regular Regression,C-AR - Customer Order Listing Page,2
C40901, No, Regular Regression,C-AR - Customer Order Listing Page,2
C40902, No, Regular Regression,C-AR - Customer Order Listing Page,2
C40903, No, Regular Regression,C-AR - Customer Order Listing Page,2
C40961, No, Regular Regression,C-AR - Customer Order Listing Page,2
C42608, No, Regular Regression,Order Header Section,3
C42609, No, Regular Regression,Order Header Section,3
C42610, No, Regular Regression,Order Header Section,3
C42611, No, Regular Regression,Order Header Section,3
C42879, No, Regular Regression,Order Body Section,3
C42880, No, Regular Regression,Order Body Section,3
C42881, No, Regular Regression,Order Body Section,3
C42882, No, Regular Regression,Order Body Section,3
C42899, No, Regular Regression,Order Body Section,3
C42900, No, Regular Regression,Order Body Section,3
C42901, No, Regular Regression,Order Body Section,3
C43046, No, Regular Regression,Order PDF Section,3
C43047, No, Regular Regression,Order PDF Section,3
C43032, No, Regular Regression,Order Payment Section,3
C43033, No, Regular Regression,Order Payment Section,3
C35560, No, Regular Regression,Customer Portal - Invoice listing page,3
C35561, No, Regular Regression,Customer Portal - Invoice listing page,3
C36568, No, Regular Regression,C-AR - Customer Menu Options,2
C36570, No, Regular Regression,C-AR - Customer Menu Options,2
C36571, Yes, Regular Regression,C-AR - Customer Menu Options,2
C37398, Yes, Regular Regression,C-AR - Customer Menu Options,2
C37399, Yes, Regular Regression,C-AR - Customer Menu Options,2
C37520, Yes, Regular Regression,C-AR - Customer Menu Options,2
C37521, No, Regular Regression,C-AR - Customer Menu Options,2
C39429, No, Regular Regression,C-AR - Customer Menu Options,2
C39430, No, Regular Regression,C-AR - Customer Menu Options,2
C39431, Yes, Regular Regression,C-AR - Customer Menu Options,2
C39432, Yes, Regular Regression,C-AR - Customer Menu Options,2
C39433, No, Regular Regression,C-AR - Customer Menu Options,2
C39434, No, Regular Regression,C-AR - Customer Menu Options,2
C39435, Yes, Regular Regression,C-AR - Customer Menu Options,2
C39436, Yes, Regular Regression,C-AR - Customer Menu Options,2
C39437, No, Regular Regression,C-AR - Customer Menu Options,2
C39438, No, Regular Regression,C-AR - Customer Menu Options,2
C39439, No, Regular Regression,C-AR - Customer Menu Options,2
C39440, No, Regular Regression,C-AR - Customer Menu Options,2
C39441, No, Regular Regression,C-AR - Customer Menu Options,2
C39442, No, Regular Regression,C-AR - Customer Menu Options,2
C39443, Yes, Regular Regression,C-AR - Customer Menu Options,2
C39444, Yes, Regular Regression,C-AR - Customer Menu Options,2
C39445, Yes, Regular Regression,C-AR - Customer Menu Options,2
C39446, Yes, Regular Regression,C-AR - Customer Menu Options,2
C39447, No, Regular Regression,C-AR - Customer Menu Options,2
C39448, Yes, Regular Regression,C-AR - Customer Menu Options,2
C39449, Yes, Regular Regression,C-AR - Customer Menu Options,2
C39450, Yes, Regular Regression,C-AR - Customer Menu Options,2
C44124, No, Regular Regression,C-AR - Customer Menu Options,2
C37073, No, Regular Regression,Header Section,3
C37074, Yes, Regular Regression,Header Section,3
C37075, Yes, Regular Regression,Header Section,3
C37076, Yes, Regular Regression,Header Section,3
C37077, Yes, Regular Regression,Header Section,3
C37078, Yes, Regular Regression,Header Section,3
C37079, No, Regular Regression,Header Section,3
C37080, Yes, Regular Regression,Header Section,3
C37081, Yes, Regular Regression,Buttons on the header section,4
C37082, Yes, Regular Regression,Buttons on the header section,4
C37083, Yes, Regular Regression,Buttons on the header section,4
C37084, Yes, Regular Regression,Buttons on the header section,4
C37085, Yes, Regular Regression,Buttons on the header section,4
C37086, Yes, Regular Regression,Buttons on the header section,4
C37087, No, Regular Regression,Buttons on the header section,4
C37088, No, Regular Regression,Buttons on the header section,4
C37089, No, Regular Regression,Buttons on the header section,4
C37090, No, Regular Regression,Body Section,3
C37091, Yes, Regular Regression,Payments Section,4
C37092, Yes, Regular Regression,Payments Section,4
C37093, Yes, Regular Regression,Payments Section,4
C37094, Yes, Regular Regression,Payments Section,4
C37095, Yes, Regular Regression,Payments Section,4
C37096, Yes, Regular Regression,Payments Section,4
C37097, No, Regular Regression,Payments Section,4
C37098, Yes, Regular Regression,Payments Section,4
C37099, Yes, Regular Regression,Payments Section,4
C37100, Yes, Regular Regression,Attachment section,4
C37101, No, Regular Regression,Attachment section,4
C37102, Yes, Regular Regression,Attachment section,4
C37103, No, Regular Regression,Attachment section,4
C37104, No, Regular Regression,Attachment section,4
C37105, No, Regular Regression,Activities/Notification Section,4
C37106, No, Regular Regression,Activities/Notification Section,4
C37107, Yes, Regular Regression,Activities/Notification Section,4
C39702, Yes, Regular Regression,C-AR - Supplier Invoice Listing Page,2
C39703, Yes, Regular Regression,C-AR - Supplier Invoice Listing Page,2
C39704, Yes, Regular Regression,C-AR - Supplier Invoice Listing Page,2
C33722, No, Regular Regression,Division Dropdown,4
C33723, No, Regular Regression,Division Dropdown,4
C33724, No, Regular Regression,Division Dropdown,4
C33725, No, Regular Regression,Customer Dropdown,4
C33726, No, Regular Regression,Customer Dropdown,4
C33727, No, Regular Regression,Customer Dropdown,4
C33728, No, Regular Regression,Customer Dropdown,4
C33767, No, Regular Regression,Currency Dropdown,4
C33768, No, Regular Regression,Currency Dropdown,4
C33769, No, Regular Regression,Currency Dropdown,4
C33848, No, Regular Regression,SearchBox,3
C33849, Yes, Regular Regression,SearchBox,3
C33850, Yes, Regular Regression,SearchBox,3
C33897, Yes, Regular Regression,SearchBox,3
C36674, No, Regular Regression,Status Filters & Additonal Filters based on Status Selection,4
C36675, Yes, Regular Regression,Status Filters & Additonal Filters based on Status Selection,4
C36676, Yes, Regular Regression,Status Filters & Additonal Filters based on Status Selection,4
C36677, Yes, Regular Regression,Status Filters & Additonal Filters based on Status Selection,4
C36678, Yes, Regular Regression,Status Filters & Additonal Filters based on Status Selection,4
C36679, Yes, Regular Regression,Status Filters & Additonal Filters based on Status Selection,4
C36680, Yes, Regular Regression,Status Filters & Additonal Filters based on Status Selection,4
C36681, Yes, Regular Regression,Status Filters & Additonal Filters based on Status Selection,4
C36682, No, Regular Regression,Date Filters,4
C36683, No, Regular Regression,Date Filters,4
C36684, Yes, Regular Regression,Export Invoice Summary,5
C36685, No, Regular Regression,Export Invoice Summary,5
C36686, Yes, Regular Regression,Export Invoice Detail,5
C36687, No, Regular Regression,Export Invoice Detail,5
C36688, Yes, Regular Regression,Create Invoice,4
C36689, Yes, Regular Regression,Create Invoice,4
C36690, No, Regular Regression,Create Invoice,4
C36691, No, Regular Regression,Create Invoice,4
C36772, No, Regular Regression,Create Invoice,4
C36773, No, Regular Regression,Create Invoice,4
C36692, Yes, Regular Regression,Send Reminder,4
C36693, No, Regular Regression,Send Reminder,4
C36694, Yes, Regular Regression,Send Invoices,4
C36695, No, Regular Regression,Send Invoices,4
C36696, Yes, Regular Regression,PDF,4
C36697, Yes, Regular Regression,Follow-up,4
C36698, No, Regular Regression,Follow-up,4
C36774, No, Regular Regression,Publish Invoices,4
C36775, No, Regular Regression,Publish Invoices,4
C36699, Yes, Regular Regression,Summary Area,4
C36700, No, Regular Regression,Summary Area,4
C36701, Yes, Regular Regression,Summary Area,4
C36702, No, Regular Regression,Summary Area,4
C36703, No, Regular Regression,Result Table Data,4
C36704, No, Regular Regression,Result Table Data,4
C36705, Yes, Regular Regression,Result Table Data,4
C36706, Yes, Regular Regression,Result Table Data,4
C36707, Yes, Regular Regression,Result Table Data,4
C36708, No, Regular Regression,Result Table Data,4
C36709, No, Regular Regression,Result Table Data,4
C36710, No, Regular Regression,Result Table Data,4
C36711, No, Regular Regression,Result Table Data,4
C36712, No, Regular Regression,Result Table Data,4
C36713, No, Regular Regression,Result Table Data,4
C36714, No, Regular Regression,Pagination,3
C39722, No, Regular Regression,C-AR - Supplier Payment Listing Page,2
C43826, Yes, Regular Regression,C-AR - Supplier Payment Listing Page,2
C43827, Yes, Regular Regression,C-AR - Supplier Payment Listing Page,2
C33783, No, Regular Regression,Division Dropdown,4
C33784, No, Regular Regression,Division Dropdown,4
C33785, No, Regular Regression,Division Dropdown,4
C33786, No, Regular Regression,Customer Dropdown,4
C33787, No, Regular Regression,Customer Dropdown,4
C33788, No, Regular Regression,Customer Dropdown,4
C33789, No, Regular Regression,Customer Dropdown,4
C33793, No, Regular Regression,Currency Dropdown,4
C33794, No, Regular Regression,Currency Dropdown,4
C33795, No, Regular Regression,Currency Dropdown,4
C33851, No, Regular Regression,SearchBox,3
C33852, No, Regular Regression,SearchBox,3
C33853, Yes, Regular Regression,SearchBox,3
C37691, No, Regular Regression,Filters,3
C37692, Yes, Regular Regression,Filters,3
C37693, Yes, Regular Regression,Filters,3
C37694, Yes, Regular Regression,Filters,3
C37695, Yes, Regular Regression,Filters,3
C37696, No, Regular Regression,Filters,3
C37697, Yes, Regular Regression,Filters,3
C37698, No, Regular Regression,Filters,3
C37699, No, Regular Regression,Filters,3
C37700, Yes, Regular Regression,Filters,3
C37701, Yes, Regular Regression,Filters,3
C37702, Yes, Regular Regression,Filters,3
C37703, Yes, Regular Regression,Filters,3
C37704, No, Regular Regression,Filters,3
C37705, No, Regular Regression,Filters,3
C44301, No, Regular Regression,Blank view,3
C44302, No, Regular Regression,Blank view,3
C37728, No, Regular Regression,C-AR - Supplier Payment Detail Page,2
C37729, No, Regular Regression,C-AR - Supplier Payment Detail Page,2
C37730, No, Regular Regression,C-AR - Supplier Payment Detail Page,2
C37734, No, Regular Regression,C-AR - Supplier Payment Detail Page,2
C39720, Yes, Regular Regression,C-AR - Supplier Payment Detail Page,2
C39721, No, Regular Regression,C-AR - Supplier Payment Detail Page,2
C36068, No, Regular Regression,C-AR - Supplier Document Detail Page,2
C36069, No, Regular Regression,C-AR - Supplier Document Detail Page,2
C36070, Yes, Regular Regression,C-AR - Supplier Document Detail Page,2
C36071, Yes, Regular Regression,C-AR - Supplier Document Detail Page,2
